Country,Medal,Year,Count
AUS,Bronze,1896,1
AUS,Bronze,1900,3
AUS,Bronze,1904,1
AUS,Bronze,1906,3
AUS,Bronze,1920,1
AUS,Bronze,1924,2
AUS,Bronze,1928,1
AUS,Bronze,1932,1
AUS,Bronze,1936,1
AUS,Bronze,1948,5
AUS,Bronze,1952,11
AUS,Bronze,1956,26
AUS,Bronze,1960,11
AUS,Bronze,1964,30
AUS,Bronze,1968,11
AUS,Bronze,1972,2
AUS,Bronze,1976,8
AUS,Bronze,1980,5
AUS,Bronze,1984,31
AUS,Bronze,1988,11
AUS,Bronze,1992,16
AUS,Bronze,1994,4
AUS,Bronze,1996,84
AUS,Bronze,1998,1
AUS,Bronze,2000,54
AUS,Bronze,2004,31
AUS,Bronze,2006,1
AUS,Bronze,2008,76
AUS,Bronze,2012,59
AUS,Bronze,2014,1
AUS,Bronze,2016,25
AUS,Gold,1896,2
AUS,Gold,1900,3
AUS,Gold,1924,4
AUS,Gold,1928,1
AUS,Gold,1932,3
AUS,Gold,1948,2
AUS,Gold,1952,7
AUS,Gold,1956,28
AUS,Gold,1960,11
AUS,Gold,1964,8
AUS,Gold,1968,5
AUS,Gold,1972,11
AUS,Gold,1980,6
AUS,Gold,1984,7
AUS,Gold,1988,18
AUS,Gold,1992,14
AUS,Gold,1996,32
AUS,Gold,2000,60
AUS,Gold,2002,2
AUS,Gold,2004,49
AUS,Gold,2006,1
AUS,Gold,2008,31
AUS,Gold,2010,2
AUS,Gold,2012,18
AUS,Gold,2016,23
AUS,Silver,1904,3
AUS,Silver,1920,6
AUS,Silver,1924,5
AUS,Silver,1928,2
AUS,Silver,1932,1
AUS,Silver,1948,9
AUS,Silver,1952,2
AUS,Silver,1956,13
AUS,Silver,1960,24
AUS,Silver,1964,6
AUS,Silver,1968,35
AUS,Silver,1972,7
AUS,Silver,1976,15
AUS,Silver,1980,2
AUS,Silver,1984,14
AUS,Silver,1988,6
AUS,Silver,1992,27
AUS,Silver,1996,16
AUS,Silver,2000,69
AUS,Silver,2004,77
AUS,Silver,2008,42
AUS,Silver,2010,1
AUS,Silver,2012,37
AUS,Silver,2014,2
AUS,Silver,2016,34
