Country,Medal,Year,Count
CAN,Bronze,1900,1
CAN,Bronze,1904,12
CAN,Bronze,1908,30
CAN,Bronze,1912,3
CAN,Bronze,1920,3
CAN,Bronze,1924,1
CAN,Bronze,1928,21
CAN,Bronze,1932,29
CAN,Bronze,1936,9
CAN,Bronze,1948,7
CAN,Bronze,1952,1
CAN,Bronze,1956,23
CAN,Bronze,1960,1
CAN,Bronze,1964,2
CAN,Bronze,1968,22
CAN,Bronze,1972,9
CAN,Bronze,1976,15
CAN,Bronze,1980,1
CAN,Bronze,1984,33
CAN,Bronze,1988,18
CAN,Bronze,1992,15
CAN,Bronze,1994,5
CAN,Bronze,1996,12
CAN,Bronze,1998,7
CAN,Bronze,2000,23
CAN,Bronze,2002,15
CAN,Bronze,2004,4
CAN,Bronze,2006,11
CAN,Bronze,2008,11
CAN,Bronze,2010,8
CAN,Bronze,2012,33
CAN,Bronze,2014,5
CAN,Bronze,2016,61
CAN,Gold,1900,1
CAN,Gold,1904,27
CAN,Gold,1906,1
CAN,Gold,1908,14
CAN,Gold,1912,3
CAN,Gold,1920,10
CAN,Gold,1924,9
CAN,Gold,1928,19
CAN,Gold,1932,16
CAN,Gold,1936,1
CAN,Gold,1948,13
CAN,Gold,1952,17
CAN,Gold,1956,5
CAN,Gold,1960,3
CAN,Gold,1964,6
CAN,Gold,1968,4
CAN,Gold,1976,1
CAN,Gold,1984,21
CAN,Gold,1988,4
CAN,Gold,1992,32
CAN,Gold,1994,3
CAN,Gold,1996,8
CAN,Gold,1998,14
CAN,Gold,2000,4
CAN,Gold,2002,52
CAN,Gold,2004,3
CAN,Gold,2006,30
CAN,Gold,2008,11
CAN,Gold,2010,67
CAN,Gold,2012,1
CAN,Gold,2014,59
CAN,Gold,2016,4
CAN,Silver,1904,9
CAN,Silver,1906,1
CAN,Silver,1908,8
CAN,Silver,1912,2
CAN,Silver,1920,3
CAN,Silver,1924,19
CAN,Silver,1928,5
CAN,Silver,1932,14
CAN,Silver,1936,25
CAN,Silver,1948,2
CAN,Silver,1952,3
CAN,Silver,1956,11
CAN,Silver,1960,26
CAN,Silver,1964,4
CAN,Silver,1968,4
CAN,Silver,1972,3
CAN,Silver,1976,10
CAN,Silver,1980,1
CAN,Silver,1984,37
CAN,Silver,1988,7
CAN,Silver,1992,33
CAN,Silver,1994,29
CAN,Silver,1996,30
CAN,Silver,1998,28
CAN,Silver,2000,4
CAN,Silver,2002,7
CAN,Silver,2004,10
CAN,Silver,2006,28
CAN,Silver,2008,13
CAN,Silver,2010,15
CAN,Silver,2012,21
CAN,Silver,2014,22
CAN,Silver,2016,4
