Country,Medal,Year,Count
CHN,Bronze,1984,37
CHN,Bronze,1988,30
CHN,Bronze,1992,19
CHN,Bronze,1994,2
CHN,Bronze,1996,17
CHN,Bronze,1998,5
CHN,Bronze,2000,17
CHN,Bronze,2002,9
CHN,Bronze,2004,15
CHN,Bronze,2006,6
CHN,Bronze,2008,57
CHN,Bronze,2010,7
CHN,Bronze,2012,29
CHN,Bronze,2014,5
CHN,Bronze,2016,37
CHN,Gold,1984,24
CHN,Gold,1988,6
CHN,Gold,1992,18
CHN,Gold,1996,19
CHN,Gold,2000,39
CHN,Gold,2002,2
CHN,Gold,2004,52
CHN,Gold,2006,2
CHN,Gold,2008,74
CHN,Gold,2010,9
CHN,Gold,2012,56
CHN,Gold,2014,3
CHN,Gold,2016,46
CHN,Silver,1984,13
CHN,Silver,1988,16
CHN,Silver,1992,48
CHN,Silver,1994,1
CHN,Silver,1996,70
CHN,Silver,1998,9
CHN,Silver,2000,23
CHN,Silver,2002,5
CHN,Silver,2004,27
CHN,Silver,2006,5
CHN,Silver,2008,53
CHN,Silver,2010,3
CHN,Silver,2012,40
CHN,Silver,2014,4
CHN,Silver,2016,30
