Country,Medal,Year,Count
DEN,Bronze,1896,3
DEN,Bronze,1900,2
DEN,Bronze,1906,1
DEN,Bronze,1908,3
DEN,Bronze,1912,33
DEN,Bronze,1920,1
DEN,Bronze,1924,3
DEN,Bronze,1928,4
DEN,Bronze,1932,4
DEN,Bronze,1936,3
DEN,Bronze,1948,27
DEN,Bronze,1952,5
DEN,Bronze,1956,1
DEN,Bronze,1960,4
DEN,Bronze,1964,4
DEN,Bronze,1968,6
DEN,Bronze,1976,5
DEN,Bronze,1980,2
DEN,Bronze,1984,10
DEN,Bronze,1988,3
DEN,Bronze,1992,9
DEN,Bronze,1996,1
DEN,Bronze,2000,4
DEN,Bronze,2004,9
DEN,Bronze,2008,6
DEN,Bronze,2012,8
DEN,Bronze,2016,16
DEN,Gold,1896,1
DEN,Gold,1900,4
DEN,Gold,1906,14
DEN,Gold,1912,5
DEN,Gold,1920,26
DEN,Gold,1924,2
DEN,Gold,1928,6
DEN,Gold,1948,7
DEN,Gold,1952,3
DEN,Gold,1956,1
DEN,Gold,1960,2
DEN,Gold,1964,7
DEN,Gold,1968,5
DEN,Gold,1972,1
DEN,Gold,1976,3
DEN,Gold,1980,4
DEN,Gold,1988,3
DEN,Gold,1992,3
DEN,Gold,1996,21
DEN,Gold,2000,18
DEN,Gold,2004,19
DEN,Gold,2008,6
DEN,Gold,2012,3
DEN,Gold,2016,15
DEN,Silver,1896,2
DEN,Silver,1900,3
DEN,Silver,1906,19
DEN,Silver,1908,14
DEN,Silver,1912,49
DEN,Silver,1920,44
DEN,Silver,1924,9
DEN,Silver,1928,5
DEN,Silver,1932,7
DEN,Silver,1936,3
DEN,Silver,1948,17
DEN,Silver,1952,1
DEN,Silver,1956,4
DEN,Silver,1960,17
DEN,Silver,1964,1
DEN,Silver,1968,6
DEN,Silver,1980,2
DEN,Silver,1984,3
DEN,Silver,1988,1
DEN,Silver,1992,2
DEN,Silver,1996,1
DEN,Silver,1998,5
DEN,Silver,2000,3
DEN,Silver,2004,1
DEN,Silver,2008,7
DEN,Silver,2012,5
DEN,Silver,2016,10
