Country,Medal,Year,Count
ESP,Bronze,1932,1
ESP,Bronze,1960,14
ESP,Bronze,1972,1
ESP,Bronze,1980,3
ESP,Bronze,1984,3
ESP,Bronze,1988,2
ESP,Bronze,1992,3
ESP,Bronze,1996,22
ESP,Bronze,2000,20
ESP,Bronze,2004,9
ESP,Bronze,2008,16
ESP,Bronze,2012,25
ESP,Bronze,2016,17
ESP,Gold,1900,2
ESP,Gold,1928,3
ESP,Gold,1972,1
ESP,Gold,1980,2
ESP,Gold,1984,2
ESP,Gold,1988,1
ESP,Gold,1992,48
ESP,Gold,1996,23
ESP,Gold,2000,3
ESP,Gold,2004,4
ESP,Gold,2008,7
ESP,Gold,2012,5
ESP,Gold,2016,9
ESP,Silver,1920,23
ESP,Silver,1948,3
ESP,Silver,1952,1
ESP,Silver,1976,6
ESP,Silver,1980,19
ESP,Silver,1984,14
ESP,Silver,1988,2
ESP,Silver,1992,19
ESP,Silver,1996,21
ESP,Silver,2000,19
ESP,Silver,2004,17
ESP,Silver,2008,47
ESP,Silver,2012,33
ESP,Silver,2016,19
