Country,Medal,Year,Count
FIN,Bronze,1906,1
FIN,Bronze,1908,28
FIN,Bronze,1912,22
FIN,Bronze,1920,17
FIN,Bronze,1924,18
FIN,Bronze,1928,10
FIN,Bronze,1932,17
FIN,Bronze,1936,16
FIN,Bronze,1948,10
FIN,Bronze,1952,31
FIN,Bronze,1956,23
FIN,Bronze,1960,9
FIN,Bronze,1964,7
FIN,Bronze,1968,6
FIN,Bronze,1972,7
FIN,Bronze,1976,1
FIN,Bronze,1980,11
FIN,Bronze,1984,18
FIN,Bronze,1988,7
FIN,Bronze,1992,8
FIN,Bronze,1994,29
FIN,Bronze,1996,1
FIN,Bronze,1998,49
FIN,Bronze,2000,1
FIN,Bronze,2002,1
FIN,Bronze,2006,7
FIN,Bronze,2008,2
FIN,Bronze,2010,46
FIN,Bronze,2012,4
FIN,Bronze,2014,24
FIN,Bronze,2016,1
FIN,Gold,1906,2
FIN,Gold,1908,1
FIN,Gold,1912,9
FIN,Gold,1920,21
FIN,Gold,1924,28
FIN,Gold,1928,10
FIN,Gold,1932,6
FIN,Gold,1936,12
FIN,Gold,1948,18
FIN,Gold,1952,14
FIN,Gold,1956,8
FIN,Gold,1960,6
FIN,Gold,1964,6
FIN,Gold,1968,2
FIN,Gold,1972,3
FIN,Gold,1976,9
FIN,Gold,1980,4
FIN,Gold,1984,8
FIN,Gold,1988,8
FIN,Gold,1992,7
FIN,Gold,1996,1
FIN,Gold,1998,2
FIN,Gold,2000,3
FIN,Gold,2002,7
FIN,Gold,2008,1
FIN,Gold,2014,2
FIN,Silver,1906,1
FIN,Silver,1908,1
FIN,Silver,1912,40
FIN,Silver,1920,14
FIN,Silver,1924,21
FIN,Silver,1928,9
FIN,Silver,1932,9
FIN,Silver,1936,8
FIN,Silver,1948,14
FIN,Silver,1952,7
FIN,Silver,1956,7
FIN,Silver,1960,4
FIN,Silver,1964,7
FIN,Silver,1968,4
FIN,Silver,1972,10
FIN,Silver,1976,12
FIN,Silver,1980,6
FIN,Silver,1984,5
FIN,Silver,1988,23
FIN,Silver,1992,5
FIN,Silver,1994,1
FIN,Silver,1996,2
FIN,Silver,1998,7
FIN,Silver,2000,1
FIN,Silver,2002,5
FIN,Silver,2004,2
FIN,Silver,2006,34
FIN,Silver,2008,2
FIN,Silver,2010,1
FIN,Silver,2012,1
FIN,Silver,2014,7
