Country,Medal,Year,Count
GBR,Bronze,1896,3
GBR,Bronze,1900,15
GBR,Bronze,1906,8
GBR,Bronze,1908,90
GBR,Bronze,1912,59
GBR,Bronze,1920,17
GBR,Bronze,1924,30
GBR,Bronze,1928,25
GBR,Bronze,1932,14
GBR,Bronze,1936,12
GBR,Bronze,1948,14
GBR,Bronze,1952,26
GBR,Bronze,1956,22
GBR,Bronze,1960,15
GBR,Bronze,1964,5
GBR,Bronze,1968,5
GBR,Bronze,1972,12
GBR,Bronze,1976,11
GBR,Bronze,1980,24
GBR,Bronze,1984,42
GBR,Bronze,1988,15
GBR,Bronze,1992,39
GBR,Bronze,1994,3
GBR,Bronze,1996,9
GBR,Bronze,1998,4
GBR,Bronze,2000,12
GBR,Bronze,2002,1
GBR,Bronze,2004,15
GBR,Bronze,2008,25
GBR,Bronze,2012,48
GBR,Bronze,2014,5
GBR,Bronze,2016,26
GBR,Gold,1896,3
GBR,Gold,1900,59
GBR,Gold,1904,1
GBR,Gold,1906,9
GBR,Gold,1908,147
GBR,Gold,1912,47
GBR,Gold,1920,52
GBR,Gold,1924,31
GBR,Gold,1928,7
GBR,Gold,1932,9
GBR,Gold,1936,24
GBR,Gold,1948,7
GBR,Gold,1952,4
GBR,Gold,1956,8
GBR,Gold,1960,2
GBR,Gold,1964,6
GBR,Gold,1968,9
GBR,Gold,1972,8
GBR,Gold,1976,7
GBR,Gold,1980,6
GBR,Gold,1984,11
GBR,Gold,1988,22
GBR,Gold,1992,8
GBR,Gold,1996,2
GBR,Gold,2000,22
GBR,Gold,2002,5
GBR,Gold,2004,17
GBR,Gold,2008,31
GBR,Gold,2010,1
GBR,Gold,2012,48
GBR,Gold,2014,1
GBR,Gold,2016,64
GBR,Silver,1896,3
GBR,Silver,1900,34
GBR,Silver,1904,1
GBR,Silver,1906,22
GBR,Silver,1908,131
GBR,Silver,1912,64
GBR,Silver,1920,42
GBR,Silver,1924,34
GBR,Silver,1928,27
GBR,Silver,1932,12
GBR,Silver,1936,17
GBR,Silver,1948,42
GBR,Silver,1952,2
GBR,Silver,1956,16
GBR,Silver,1960,11
GBR,Silver,1964,19
GBR,Silver,1968,5
GBR,Silver,1972,9
GBR,Silver,1976,15
GBR,Silver,1980,18
GBR,Silver,1984,20
GBR,Silver,1988,17
GBR,Silver,1992,3
GBR,Silver,1996,15
GBR,Silver,2000,20
GBR,Silver,2004,25
GBR,Silver,2006,1
GBR,Silver,2008,25
GBR,Silver,2012,30
GBR,Silver,2014,4
GBR,Silver,2016,55
