Country,Medal,Year,Count
HUN,Bronze,1896,3
HUN,Bronze,1900,2
HUN,Bronze,1904,1
HUN,Bronze,1906,3
HUN,Bronze,1908,6
HUN,Bronze,1912,3
HUN,Bronze,1924,8
HUN,Bronze,1932,10
HUN,Bronze,1936,17
HUN,Bronze,1948,22
HUN,Bronze,1952,34
HUN,Bronze,1956,16
HUN,Bronze,1960,37
HUN,Bronze,1964,7
HUN,Bronze,1968,29
HUN,Bronze,1972,25
HUN,Bronze,1976,35
HUN,Bronze,1980,40
HUN,Bronze,1988,15
HUN,Bronze,1992,8
HUN,Bronze,1996,26
HUN,Bronze,2000,4
HUN,Bronze,2004,4
HUN,Bronze,2008,3
HUN,Bronze,2012,6
HUN,Bronze,2016,7
HUN,Gold,1896,2
HUN,Gold,1900,1
HUN,Gold,1904,2
HUN,Gold,1906,5
HUN,Gold,1908,7
HUN,Gold,1912,10
HUN,Gold,1924,2
HUN,Gold,1928,10
HUN,Gold,1932,20
HUN,Gold,1936,25
HUN,Gold,1948,15
HUN,Gold,1952,53
HUN,Gold,1956,30
HUN,Gold,1960,13
HUN,Gold,1964,42
HUN,Gold,1968,32
HUN,Gold,1972,10
HUN,Gold,1976,14
HUN,Gold,1980,8
HUN,Gold,1988,20
HUN,Gold,1992,14
HUN,Gold,1996,8
HUN,Gold,2000,25
HUN,Gold,2004,24
HUN,Gold,2008,16
HUN,Gold,2012,12
HUN,Gold,2016,12
HUN,Silver,1896,1
HUN,Silver,1900,2
HUN,Silver,1904,1
HUN,Silver,1906,5
HUN,Silver,1908,7
HUN,Silver,1912,17
HUN,Silver,1924,12
HUN,Silver,1928,11
HUN,Silver,1932,5
HUN,Silver,1936,1
HUN,Silver,1948,27
HUN,Silver,1952,17
HUN,Silver,1956,20
HUN,Silver,1960,16
HUN,Silver,1964,7
HUN,Silver,1968,20
HUN,Silver,1972,46
HUN,Silver,1976,6
HUN,Silver,1980,15
HUN,Silver,1988,9
HUN,Silver,1992,23
HUN,Silver,1996,9
HUN,Silver,2000,24
HUN,Silver,2004,12
HUN,Silver,2008,8
HUN,Silver,2012,8
HUN,Silver,2016,3
