Country,Medal,Year,Count
ITA,Bronze,1906,27
ITA,Bronze,1912,2
ITA,Bronze,1920,8
ITA,Bronze,1924,21
ITA,Bronze,1928,26
ITA,Bronze,1932,18
ITA,Bronze,1936,5
ITA,Bronze,1948,14
ITA,Bronze,1952,16
ITA,Bronze,1956,10
ITA,Bronze,1960,35
ITA,Bronze,1964,17
ITA,Bronze,1968,20
ITA,Bronze,1972,14
ITA,Bronze,1976,5
ITA,Bronze,1980,8
ITA,Bronze,1984,28
ITA,Bronze,1988,13
ITA,Bronze,1992,22
ITA,Bronze,1994,12
ITA,Bronze,1996,28
ITA,Bronze,1998,5
ITA,Bronze,2000,29
ITA,Bronze,2002,6
ITA,Bronze,2004,39
ITA,Bronze,2006,14
ITA,Bronze,2008,20
ITA,Bronze,2010,3
ITA,Bronze,2012,30
ITA,Bronze,2014,12
ITA,Bronze,2016,24
ITA,Gold,1900,3
ITA,Gold,1906,21
ITA,Gold,1908,2
ITA,Gold,1912,22
ITA,Gold,1920,67
ITA,Gold,1924,25
ITA,Gold,1928,24
ITA,Gold,1932,21
ITA,Gold,1936,37
ITA,Gold,1948,22
ITA,Gold,1952,18
ITA,Gold,1956,28
ITA,Gold,1960,36
ITA,Gold,1964,14
ITA,Gold,1968,13
ITA,Gold,1972,12
ITA,Gold,1976,3
ITA,Gold,1980,8
ITA,Gold,1984,31
ITA,Gold,1988,13
ITA,Gold,1992,25
ITA,Gold,1994,14
ITA,Gold,1996,19
ITA,Gold,1998,3
ITA,Gold,2000,22
ITA,Gold,2002,4
ITA,Gold,2004,24
ITA,Gold,2006,11
ITA,Gold,2008,8
ITA,Gold,2010,1
ITA,Gold,2012,16
ITA,Gold,2016,8
ITA,Silver,1900,2
ITA,Silver,1906,8
ITA,Silver,1908,6
ITA,Silver,1912,1
ITA,Silver,1920,9
ITA,Silver,1924,5
ITA,Silver,1928,22
ITA,Silver,1932,38
ITA,Silver,1936,34
ITA,Silver,1948,32
ITA,Silver,1952,22
ITA,Silver,1956,17
ITA,Silver,1960,18
ITA,Silver,1964,30
ITA,Silver,1968,8
ITA,Silver,1972,8
ITA,Silver,1976,27
ITA,Silver,1980,24
ITA,Silver,1984,6
ITA,Silver,1988,11
ITA,Silver,1992,19
ITA,Silver,1994,6
ITA,Silver,1996,24
ITA,Silver,1998,9
ITA,Silver,2000,14
ITA,Silver,2002,11
ITA,Silver,2004,41
ITA,Silver,2008,14
ITA,Silver,2010,1
ITA,Silver,2012,22
ITA,Silver,2014,2
ITA,Silver,2016,40
