Country,Medal,Year,Count
JPN,Bronze,1924,1
JPN,Bronze,1928,1
JPN,Bronze,1932,4
JPN,Bronze,1936,10
JPN,Bronze,1952,2
JPN,Bronze,1956,5
JPN,Bronze,1960,12
JPN,Bronze,1964,25
JPN,Bronze,1968,22
JPN,Bronze,1972,9
JPN,Bronze,1976,10
JPN,Bronze,1984,31
JPN,Bronze,1988,14
JPN,Bronze,1992,43
JPN,Bronze,1994,2
JPN,Bronze,1996,13
JPN,Bronze,1998,4
JPN,Bronze,2000,8
JPN,Bronze,2002,1
JPN,Bronze,2004,52
JPN,Bronze,2008,13
JPN,Bronze,2010,2
JPN,Bronze,2012,33
JPN,Bronze,2014,6
JPN,Bronze,2016,34
JPN,Gold,1928,2
JPN,Gold,1932,10
JPN,Gold,1936,9
JPN,Gold,1952,1
JPN,Gold,1956,4
JPN,Gold,1960,9
JPN,Gold,1964,32
JPN,Gold,1968,16
JPN,Gold,1972,30
JPN,Gold,1976,25
JPN,Gold,1984,10
JPN,Gold,1988,4
JPN,Gold,1992,6
JPN,Gold,1994,3
JPN,Gold,1996,3
JPN,Gold,1998,8
JPN,Gold,2000,5
JPN,Gold,2004,21
JPN,Gold,2006,1
JPN,Gold,2008,23
JPN,Gold,2012,7
JPN,Gold,2014,1
JPN,Gold,2016,17
JPN,Silver,1920,3
JPN,Silver,1928,6
JPN,Silver,1932,17
JPN,Silver,1936,4
JPN,Silver,1952,9
JPN,Silver,1956,16
JPN,Silver,1960,10
JPN,Silver,1964,5
JPN,Silver,1968,25
JPN,Silver,1972,20
JPN,Silver,1976,6
JPN,Silver,1980,1
JPN,Silver,1984,9
JPN,Silver,1988,3
JPN,Silver,1992,10
JPN,Silver,1994,5
JPN,Silver,1996,26
JPN,Silver,1998,1
JPN,Silver,2000,31
JPN,Silver,2002,1
JPN,Silver,2004,20
JPN,Silver,2008,15
JPN,Silver,2010,5
JPN,Silver,2012,44
JPN,Silver,2014,4
JPN,Silver,2016,13
