Country,Medal,Year,Count
KOR,Bronze,1948,2
KOR,Bronze,1952,2
KOR,Bronze,1956,1
KOR,Bronze,1964,1
KOR,Bronze,1968,1
KOR,Bronze,1976,15
KOR,Bronze,1984,7
KOR,Bronze,1988,12
KOR,Bronze,1992,17
KOR,Bronze,1994,1
KOR,Bronze,1996,7
KOR,Bronze,1998,2
KOR,Bronze,2000,35
KOR,Bronze,2004,10
KOR,Bronze,2006,2
KOR,Bronze,2008,26
KOR,Bronze,2010,2
KOR,Bronze,2012,30
KOR,Bronze,2014,2
KOR,Bronze,2016,10
KOR,Gold,1976,1
KOR,Gold,1984,6
KOR,Gold,1988,28
KOR,Gold,1992,33
KOR,Gold,1994,7
KOR,Gold,1996,10
KOR,Gold,1998,6
KOR,Gold,2000,12
KOR,Gold,2002,5
KOR,Gold,2004,14
KOR,Gold,2006,14
KOR,Gold,2008,41
KOR,Gold,2010,6
KOR,Gold,2012,18
KOR,Gold,2014,7
KOR,Gold,2016,13
KOR,Silver,1956,1
KOR,Silver,1964,2
KOR,Silver,1968,1
KOR,Silver,1972,1
KOR,Silver,1976,1
KOR,Silver,1984,28
KOR,Silver,1988,37
KOR,Silver,1992,6
KOR,Silver,1994,1
KOR,Silver,1996,49
KOR,Silver,1998,4
KOR,Silver,2000,26
KOR,Silver,2002,2
KOR,Silver,2004,28
KOR,Silver,2006,3
KOR,Silver,2008,11
KOR,Silver,2010,10
KOR,Silver,2012,13
KOR,Silver,2014,5
KOR,Silver,2016,3
