Country,Medal,Year,Count
NED,Bronze,1900,16
NED,Bronze,1906,5
NED,Bronze,1908,16
NED,Bronze,1912,26
NED,Bronze,1920,25
NED,Bronze,1924,18
NED,Bronze,1928,8
NED,Bronze,1932,1
NED,Bronze,1936,21
NED,Bronze,1948,32
NED,Bronze,1960,3
NED,Bronze,1964,16
NED,Bronze,1968,4
NED,Bronze,1972,4
NED,Bronze,1976,15
NED,Bronze,1980,6
NED,Bronze,1984,14
NED,Bronze,1988,38
NED,Bronze,1992,10
NED,Bronze,1994,3
NED,Bronze,1996,26
NED,Bronze,1998,2
NED,Bronze,2000,23
NED,Bronze,2004,22
NED,Bronze,2006,8
NED,Bronze,2008,4
NED,Bronze,2010,6
NED,Bronze,2012,19
NED,Bronze,2014,9
NED,Bronze,2016,13
NED,Gold,1900,3
NED,Gold,1920,15
NED,Gold,1924,8
NED,Gold,1928,20
NED,Gold,1932,2
NED,Gold,1936,9
NED,Gold,1948,8
NED,Gold,1964,6
NED,Gold,1968,9
NED,Gold,1972,7
NED,Gold,1976,1
NED,Gold,1980,1
NED,Gold,1984,20
NED,Gold,1988,6
NED,Gold,1992,6
NED,Gold,1996,38
NED,Gold,1998,5
NED,Gold,2000,27
NED,Gold,2002,3
NED,Gold,2004,4
NED,Gold,2006,3
NED,Gold,2008,39
NED,Gold,2010,4
NED,Gold,2012,21
NED,Gold,2014,13
NED,Gold,2016,9
NED,Silver,1900,8
NED,Silver,1906,1
NED,Silver,1920,10
NED,Silver,1924,1
NED,Silver,1928,29
NED,Silver,1932,10
NED,Silver,1936,7
NED,Silver,1948,2
NED,Silver,1952,21
NED,Silver,1960,2
NED,Silver,1964,11
NED,Silver,1968,10
NED,Silver,1972,4
NED,Silver,1976,4
NED,Silver,1980,3
NED,Silver,1984,7
NED,Silver,1988,8
NED,Silver,1992,21
NED,Silver,1994,1
NED,Silver,1996,9
NED,Silver,1998,4
NED,Silver,2000,29
NED,Silver,2002,5
NED,Silver,2004,51
NED,Silver,2006,2
NED,Silver,2008,18
NED,Silver,2010,1
NED,Silver,2012,29
NED,Silver,2014,7
NED,Silver,2016,25
