Country,Medal,Year,Count
NOR,Bronze,1900,3
NOR,Bronze,1908,3
NOR,Bronze,1912,34
NOR,Bronze,1920,27
NOR,Bronze,1924,9
NOR,Bronze,1928,6
NOR,Bronze,1932,3
NOR,Bronze,1936,18
NOR,Bronze,1948,17
NOR,Bronze,1952,6
NOR,Bronze,1956,3
NOR,Bronze,1964,6
NOR,Bronze,1968,2
NOR,Bronze,1972,11
NOR,Bronze,1976,1
NOR,Bronze,1980,9
NOR,Bronze,1984,7
NOR,Bronze,1988,5
NOR,Bronze,1992,6
NOR,Bronze,1994,5
NOR,Bronze,1996,18
NOR,Bronze,1998,12
NOR,Bronze,2000,19
NOR,Bronze,2002,7
NOR,Bronze,2004,2
NOR,Bronze,2006,12
NOR,Bronze,2008,1
NOR,Bronze,2010,9
NOR,Bronze,2012,1
NOR,Bronze,2014,13
NOR,Bronze,2016,19
NOR,Gold,1904,2
NOR,Gold,1906,20
NOR,Gold,1908,7
NOR,Gold,1912,40
NOR,Gold,1920,58
NOR,Gold,1924,18
NOR,Gold,1928,10
NOR,Gold,1932,3
NOR,Gold,1936,8
NOR,Gold,1948,7
NOR,Gold,1952,12
NOR,Gold,1956,3
NOR,Gold,1960,5
NOR,Gold,1964,3
NOR,Gold,1968,15
NOR,Gold,1972,4
NOR,Gold,1976,5
NOR,Gold,1980,1
NOR,Gold,1984,6
NOR,Gold,1988,2
NOR,Gold,1992,11
NOR,Gold,1994,8
NOR,Gold,1996,2
NOR,Gold,1998,13
NOR,Gold,2000,20
NOR,Gold,2002,23
NOR,Gold,2004,5
NOR,Gold,2006,2
NOR,Gold,2008,16
NOR,Gold,2010,16
NOR,Gold,2012,15
NOR,Gold,2014,18
NOR,Silver,1900,6
NOR,Silver,1906,5
NOR,Silver,1908,32
NOR,Silver,1912,6
NOR,Silver,1920,52
NOR,Silver,1924,12
NOR,Silver,1928,8
NOR,Silver,1932,4
NOR,Silver,1936,20
NOR,Silver,1948,7
NOR,Silver,1952,14
NOR,Silver,1956,1
NOR,Silver,1960,6
NOR,Silver,1964,6
NOR,Silver,1968,11
NOR,Silver,1972,10
NOR,Silver,1976,10
NOR,Silver,1980,5
NOR,Silver,1984,6
NOR,Silver,1988,26
NOR,Silver,1992,30
NOR,Silver,1994,17
NOR,Silver,1996,3
NOR,Silver,1998,15
NOR,Silver,2000,4
NOR,Silver,2002,11
NOR,Silver,2006,9
NOR,Silver,2008,5
NOR,Silver,2010,14
NOR,Silver,2012,1
NOR,Silver,2014,5
