Country,Medal,Year,Count
POL,Bronze,1924,1
POL,Bronze,1928,15
POL,Bronze,1932,14
POL,Bronze,1936,6
POL,Bronze,1948,1
POL,Bronze,1952,1
POL,Bronze,1956,10
POL,Bronze,1960,16
POL,Bronze,1964,23
POL,Bronze,1968,30
POL,Bronze,1972,11
POL,Bronze,1976,26
POL,Bronze,1980,22
POL,Bronze,1988,10
POL,Bronze,1992,19
POL,Bronze,1996,7
POL,Bronze,2000,7
POL,Bronze,2002,1
POL,Bronze,2004,6
POL,Bronze,2006,1
POL,Bronze,2008,1
POL,Bronze,2010,4
POL,Bronze,2012,8
POL,Bronze,2014,3
POL,Bronze,2016,10
POL,Gold,1928,2
POL,Gold,1932,3
POL,Gold,1948,1
POL,Gold,1952,1
POL,Gold,1956,1
POL,Gold,1960,4
POL,Gold,1964,10
POL,Gold,1968,5
POL,Gold,1972,28
POL,Gold,1976,18
POL,Gold,1980,3
POL,Gold,1988,2
POL,Gold,1992,5
POL,Gold,1996,7
POL,Gold,2000,7
POL,Gold,2004,4
POL,Gold,2008,6
POL,Gold,2010,1
POL,Gold,2012,2
POL,Gold,2014,4
POL,Gold,2016,3
POL,Silver,1924,4
POL,Silver,1928,3
POL,Silver,1932,4
POL,Silver,1936,6
POL,Silver,1952,2
POL,Silver,1956,9
POL,Silver,1960,12
POL,Silver,1964,13
POL,Silver,1968,2
POL,Silver,1972,8
POL,Silver,1976,29
POL,Silver,1980,25
POL,Silver,1988,9
POL,Silver,1992,22
POL,Silver,1996,8
POL,Silver,2000,10
POL,Silver,2002,1
POL,Silver,2004,2
POL,Silver,2006,1
POL,Silver,2008,13
POL,Silver,2010,3
POL,Silver,2012,2
POL,Silver,2014,4
POL,Silver,2016,3
