Country,Medal,Year,Count
ROU,Bronze,1924,16
ROU,Bronze,1952,2
ROU,Bronze,1956,10
ROU,Bronze,1960,11
ROU,Bronze,1964,10
ROU,Bronze,1968,11
ROU,Bronze,1972,27
ROU,Bronze,1976,23
ROU,Bronze,1980,46
ROU,Bronze,1984,35
ROU,Bronze,1988,16
ROU,Bronze,1992,14
ROU,Bronze,1996,15
ROU,Bronze,2000,13
ROU,Bronze,2004,11
ROU,Bronze,2008,16
ROU,Bronze,2012,6
ROU,Bronze,2016,10
ROU,Gold,1952,1
ROU,Gold,1956,6
ROU,Gold,1960,3
ROU,Gold,1964,2
ROU,Gold,1968,5
ROU,Gold,1972,3
ROU,Gold,1976,4
ROU,Gold,1980,7
ROU,Gold,1984,40
ROU,Gold,1988,8
ROU,Gold,1992,8
ROU,Gold,1996,13
ROU,Gold,2000,27
ROU,Gold,2004,23
ROU,Gold,2008,5
ROU,Gold,2012,2
ROU,Gold,2016,4
ROU,Silver,1936,1
ROU,Silver,1952,1
ROU,Silver,1956,3
ROU,Silver,1960,1
ROU,Silver,1964,4
ROU,Silver,1968,9
ROU,Silver,1972,10
ROU,Silver,1976,28
ROU,Silver,1980,15
ROU,Silver,1984,31
ROU,Silver,1988,34
ROU,Silver,1992,31
ROU,Silver,1996,10
ROU,Silver,2000,6
ROU,Silver,2004,5
ROU,Silver,2008,1
ROU,Silver,2012,8
ROU,Silver,2016,2
