Country,Medal,Year,Count
RUS,Bronze,1912,9
RUS,Bronze,1994,4
RUS,Bronze,1996,34
RUS,Bronze,1998,6
RUS,Bronze,2000,54
RUS,Bronze,2002,27
RUS,Bronze,2004,95
RUS,Bronze,2006,13
RUS,Bronze,2008,53
RUS,Bronze,2010,14
RUS,Bronze,2012,51
RUS,Bronze,2014,13
RUS,Bronze,2016,35
RUS,Gold,1908,1
RUS,Gold,1994,19
RUS,Gold,1996,36
RUS,Gold,1998,14
RUS,Gold,2000,66
RUS,Gold,2002,6
RUS,Gold,2004,48
RUS,Gold,2006,16
RUS,Gold,2008,43
RUS,Gold,2010,6
RUS,Gold,2012,50
RUS,Gold,2014,33
RUS,Gold,2016,52
RUS,Silver,1908,2
RUS,Silver,1912,5
RUS,Silver,1994,13
RUS,Silver,1996,45
RUS,Silver,1998,32
RUS,Silver,2000,67
RUS,Silver,2002,5
RUS,Silver,2004,46
RUS,Silver,2006,12
RUS,Silver,2008,46
RUS,Silver,2010,5
RUS,Silver,2012,39
RUS,Silver,2014,22
RUS,Silver,2016,28
