Country,Medal,Year,Count
SWE,Bronze,1900,1
SWE,Bronze,1906,14
SWE,Bronze,1908,18
SWE,Bronze,1912,25
SWE,Bronze,1920,64
SWE,Bronze,1924,43
SWE,Bronze,1928,23
SWE,Bronze,1932,12
SWE,Bronze,1936,23
SWE,Bronze,1948,33
SWE,Bronze,1952,46
SWE,Bronze,1956,15
SWE,Bronze,1960,5
SWE,Bronze,1964,9
SWE,Bronze,1968,7
SWE,Bronze,1972,10
SWE,Bronze,1976,2
SWE,Bronze,1980,29
SWE,Bronze,1984,34
SWE,Bronze,1988,34
SWE,Bronze,1992,13
SWE,Bronze,1996,5
SWE,Bronze,1998,5
SWE,Bronze,2000,8
SWE,Bronze,2002,24
SWE,Bronze,2004,2
SWE,Bronze,2006,8
SWE,Bronze,2008,2
SWE,Bronze,2010,4
SWE,Bronze,2012,3
SWE,Bronze,2014,11
SWE,Bronze,2016,3
SWE,Gold,1900,3
SWE,Gold,1906,2
SWE,Gold,1908,48
SWE,Gold,1912,103
SWE,Gold,1920,52
SWE,Gold,1924,8
SWE,Gold,1928,9
SWE,Gold,1932,14
SWE,Gold,1936,9
SWE,Gold,1948,37
SWE,Gold,1952,23
SWE,Gold,1956,16
SWE,Gold,1960,7
SWE,Gold,1964,9
SWE,Gold,1968,7
SWE,Gold,1972,5
SWE,Gold,1976,9
SWE,Gold,1980,6
SWE,Gold,1984,10
SWE,Gold,1988,7
SWE,Gold,1992,2
SWE,Gold,1994,23
SWE,Gold,1996,3
SWE,Gold,2000,4
SWE,Gold,2004,5
SWE,Gold,2006,35
SWE,Gold,2010,11
SWE,Gold,2012,2
SWE,Gold,2014,8
SWE,Gold,2016,2
SWE,Silver,1906,5
SWE,Silver,1908,18
SWE,Silver,1912,62
SWE,Silver,1920,38
SWE,Silver,1924,30
SWE,Silver,1928,21
SWE,Silver,1932,9
SWE,Silver,1936,13
SWE,Silver,1948,18
SWE,Silver,1952,24
SWE,Silver,1956,18
SWE,Silver,1960,4
SWE,Silver,1964,25
SWE,Silver,1968,11
SWE,Silver,1972,11
SWE,Silver,1976,1
SWE,Silver,1980,8
SWE,Silver,1984,20
SWE,Silver,1988,5
SWE,Silver,1992,27
SWE,Silver,1994,1
SWE,Silver,1996,23
SWE,Silver,1998,2
SWE,Silver,2000,20
SWE,Silver,2002,2
SWE,Silver,2004,5
SWE,Silver,2006,21
SWE,Silver,2008,5
SWE,Silver,2010,3
SWE,Silver,2012,17
SWE,Silver,2014,32
SWE,Silver,2016,23
