Country,Medal,Year,Count
URS,Bronze,1952,19
URS,Bronze,1956,61
URS,Bronze,1960,73
URS,Bronze,1964,60
URS,Bronze,1968,69
URS,Bronze,1972,63
URS,Bronze,1976,88
URS,Bronze,1980,133
URS,Bronze,1984,12
URS,Bronze,1988,111
URS,Gold,1952,36
URS,Gold,1956,94
URS,Gold,1960,68
URS,Gold,1964,90
URS,Gold,1968,91
URS,Gold,1972,143
URS,Gold,1976,152
URS,Gold,1980,205
URS,Gold,1984,29
URS,Gold,1988,174
URS,Silver,1952,62
URS,Silver,1956,51
URS,Silver,1960,70
URS,Silver,1964,71
URS,Silver,1968,69
URS,Silver,1972,53
URS,Silver,1976,102
URS,Silver,1980,158
URS,Silver,1984,15
URS,Silver,1988,81
