Country,Medal,Year,Count
USA,Bronze,1896,2
USA,Bronze,1900,17
USA,Bronze,1904,125
USA,Bronze,1906,6
USA,Bronze,1908,15
USA,Bronze,1912,36
USA,Bronze,1920,38
USA,Bronze,1924,50
USA,Bronze,1928,19
USA,Bronze,1932,64
USA,Bronze,1936,30
USA,Bronze,1948,41
USA,Bronze,1952,29
USA,Bronze,1956,25
USA,Bronze,1960,25
USA,Bronze,1964,42
USA,Bronze,1968,36
USA,Bronze,1972,46
USA,Bronze,1976,41
USA,Bronze,1980,2
USA,Bronze,1984,50
USA,Bronze,1988,58
USA,Bronze,1992,87
USA,Bronze,1994,5
USA,Bronze,1996,52
USA,Bronze,1998,5
USA,Bronze,2000,51
USA,Bronze,2002,15
USA,Bronze,2004,71
USA,Bronze,2006,32
USA,Bronze,2008,80
USA,Bronze,2010,22
USA,Bronze,2012,46
USA,Bronze,2014,24
USA,Bronze,2016,71
USA,Gold,1896,11
USA,Gold,1900,30
USA,Gold,1904,128
USA,Gold,1906,12
USA,Gold,1908,34
USA,Gold,1912,46
USA,Gold,1920,111
USA,Gold,1924,98
USA,Gold,1928,53
USA,Gold,1932,91
USA,Gold,1936,53
USA,Gold,1948,93
USA,Gold,1952,87
USA,Gold,1956,63
USA,Gold,1960,100
USA,Gold,1964,96
USA,Gold,1968,100
USA,Gold,1972,72
USA,Gold,1976,73
USA,Gold,1980,24
USA,Gold,1984,190
USA,Gold,1988,89
USA,Gold,1992,94
USA,Gold,1994,6
USA,Gold,1996,159
USA,Gold,1998,25
USA,Gold,2000,130
USA,Gold,2002,11
USA,Gold,2004,117
USA,Gold,2006,9
USA,Gold,2008,127
USA,Gold,2010,12
USA,Gold,2012,145
USA,Gold,2014,10
USA,Gold,2016,139
USA,Silver,1896,7
USA,Silver,1900,16
USA,Silver,1904,141
USA,Silver,1906,6
USA,Silver,1908,16
USA,Silver,1912,25
USA,Silver,1920,45
USA,Silver,1924,46
USA,Silver,1928,30
USA,Silver,1932,68
USA,Silver,1936,29
USA,Silver,1948,34
USA,Silver,1952,48
USA,Silver,1956,61
USA,Silver,1960,27
USA,Silver,1964,39
USA,Silver,1968,37
USA,Silver,1972,77
USA,Silver,1976,61
USA,Silver,1980,4
USA,Silver,1984,121
USA,Silver,1988,67
USA,Silver,1992,57
USA,Silver,1994,8
USA,Silver,1996,48
USA,Silver,1998,4
USA,Silver,2000,61
USA,Silver,2002,58
USA,Silver,2004,75
USA,Silver,2006,11
USA,Silver,2008,110
USA,Silver,2010,63
USA,Silver,2012,57
USA,Silver,2014,30
USA,Silver,2016,54
